LogEntrySource,LogEntry,"TimeGenerated [UTC]",Computer,Image,Name,ContainerID
stdout,"49:C 18 Sep 2022 01:51:48.025 * RDB: 8 MB of memory used by copy-on-write","9/18/2022, 1:51:48.025 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"49:C 18 Sep 2022 01:51:48.024 * DB saved on disk","9/18/2022, 1:51:48.024 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 18 Sep 2022 01:51:48.003 * Background saving started by pid 49","9/18/2022, 1:51:48.003 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 18 Sep 2022 01:51:48.001 * 10 changes in 300 seconds. Saving...","9/18/2022, 1:51:48.001 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 18 Sep 2022 01:46:47.998 * Background saving terminated with success","9/18/2022, 1:46:47.998 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"48:C 18 Sep 2022 01:46:47.904 * RDB: 8 MB of memory used by copy-on-write","9/18/2022, 1:46:47.904 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"48:C 18 Sep 2022 01:46:47.903 * DB saved on disk","9/18/2022, 1:46:47.903 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 18 Sep 2022 01:46:47.897 * Background saving started by pid 48","9/18/2022, 1:46:47.898 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 18 Sep 2022 01:46:47.896 * 1 changes in 900 seconds. Saving...","9/18/2022, 1:46:47.896 AM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 23:02:44.171 * Background saving terminated with success","9/17/2022, 11:02:44.171 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"47:C 17 Sep 2022 23:02:44.088 * RDB: 8 MB of memory used by copy-on-write","9/17/2022, 11:02:44.088 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"47:C 17 Sep 2022 23:02:44.087 * DB saved on disk","9/17/2022, 11:02:44.087 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 23:02:44.071 * Background saving started by pid 47","9/17/2022, 11:02:44.071 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 23:02:44.069 * 1 changes in 900 seconds. Saving...","9/17/2022, 11:02:44.069 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:47:43.688 * Background saving terminated with success","9/17/2022, 10:47:43.688 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"46:C 17 Sep 2022 22:47:43.594 * RDB: 10 MB of memory used by copy-on-write","9/17/2022, 10:47:43.594 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"46:C 17 Sep 2022 22:47:43.594 * DB saved on disk","9/17/2022, 10:47:43.594 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:47:43.587 * Background saving started by pid 46","9/17/2022, 10:47:43.587 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:47:43.586 * 10 changes in 300 seconds. Saving...","9/17/2022, 10:47:43.586 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:34:45.013 * Background saving terminated with success","9/17/2022, 10:34:45.013 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"45:C 17 Sep 2022 22:34:44.919 * DB saved on disk","9/17/2022, 10:34:44.919 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"45:C 17 Sep 2022 22:34:44.919 * RDB: 8 MB of memory used by copy-on-write","9/17/2022, 10:34:44.919 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:34:44.912 * Background saving started by pid 45","9/17/2022, 10:34:44.912 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:34:44.910 * 10 changes in 300 seconds. Saving...","9/17/2022, 10:34:44.910 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:27:54.863 * Background saving terminated with success","9/17/2022, 10:27:54.863 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"44:C 17 Sep 2022 22:27:54.769 * DB saved on disk","9/17/2022, 10:27:54.770 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"44:C 17 Sep 2022 22:27:54.770 * RDB: 8 MB of memory used by copy-on-write","9/17/2022, 10:27:54.770 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:27:54.763 * Background saving started by pid 44","9/17/2022, 10:27:54.763 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
stdout,"1:M 17 Sep 2022 22:27:54.761 * 1 changes in 900 seconds. Saving...","9/17/2022, 10:27:54.761 PM","aks-agentpool-15656338-vmss000001","oss/bitnami/redis","azure-vote-back",35db9fe2e2ff9a83dc4ba9b977869a426a6ef696699eb1b0d507a3ecf4f19941
